Jimmy Butler,SF,Bulls,United States,East,Mid-Range
Stephen Curry,PG,Warriors,United States,West,Long-Range
Tim Duncan,PF,Spurs,United States,West,Mid-Range
Manu Ginobili,PG,Spurs,Argentina,West,Passer
Richard Hamilton,SG,Pistons,United States,East,
Allen Iverson,PG,Sixers,United States,East,Layup
Julius Erving,SF,Sixers,United States,East,
Joel Embiid,C,Sixers,Cameroon,East,Dunker
Tracy McGrady,SG,Raptors,United States,East,Dunker
Shaquille O'Neal,C,Lakers,United States,West,Dunker
Kobe Bryant,SG,Lakers,United States,West,Dunker
Michael Jordan,SG,Bulls,United States,East,Dunker
Scottie Pippen,SF,Bulls,United States,East,Dunker
Magic Johnson,PG,Lakers,United States,West,Passer
Derrick Rose,PG,Bulls,United States,East,Dunker
Russell Westbrook,PG,Thunder,United States,West,Passer
Kawhi Leonard,SF,Raptors,United States,East,Mid-Range
Paul George,PF,Pacers,United States,East,Dunker
Reggie Miller,SF,Pacers,United States,East,Long-Range
Dirk Nowitzki,PF,Mavericks,Germany,West,Long-Range
Steve Nash,PG,Suns,South Africa,West,Passer
Larry Bird,SF,Celtics,United States,East,Long-Range
Kevin Garnett,PF,Celtics,United States,East,Dunker
Hakeem Olajuwon,C,Rockets,Nigeria,West,Dunker
Wilt Chamberlain,C,Sixers,United States,East,Dunker
Klay Thompson,SF,Warriors,United States,West,Long-Range
Dwayne Wade,SG,Heat,United States,East,Dunker
LeBron James,SF,Cavaliers,United States,East,Passer
John Wall,PG,Wizards,United States,East,Dunker
James Harden,SG,Rockets,United States,West,Long-Range
Blake Griffin,PF,Clippers,United States,West,Dunker
Chris Paul,PG,Clippers,United States,West,Passer
Devin Booker,SG,Suns,United States,West,Mid-Range
Charles Barkley,PF,Suns,United States,West,Dunker
Giannis Antetokounmpo,PF,Bucks,Greece,East,Dunker
Luka Doncic,SG,Mavericks,Slovenia,West,Passer
Yao Ming,C,Rockets,China,West,Dunker
Ray Allen,SG,Heat,United States,East,Long-Range
Joakim Noah,C,Bulls,United States,East,Dunker
Ben Simmons,PF,Sixers,Australia,East,Dunker
Kevin Durant,SF,Thunder,United States,West,Mid-Range
Patrick Ewing,C,Knicks,Jamaica,East,Dunker
David Robinson,C,Spurs,United States,West,Dunker
Clyde Drexler,SG,Blazers,United States,West,
Damian Lillard,PG,Blazers,United States,West,Long-Range
Jason Williams,PG,Kings,United States,West,Passer
Peja Stojakovic,SF,Kings,Croatia,West,Long-Range
Jayson Tatum,SF,Celtics,United States,East,Dunker
Kristaps Porzingis,PF,Knicks,Latvia,East,Long-Range
Carmelo Anthony,SF,Knicks,United States,East,Mid-Range
Kevin Love,PF,Cavaliers,United States,East,Dunker
Pascal Siakam,PF,Raptors,Cameroon,East,Dunker
JR Smith,SG,Cavaliers,United States,East,
Lamar Odom,PF,Clippers,United States,West,
Anthony Davis,C,Lakers,United States,West,Dunker
Vince Carter,SG,Raptors,United States,East,Dunker
Kareem Abdul-Jabbar,C,Bucks,United States,East,Dunker
Bill Russell,C,Celtics,United States,East,Dunker
Gilbert Arenas,PG,Wizards,United States,East,Layup
Pau Gasol,C,Bulls,Spain,East,Dunker
